doc_id,title,authors,year,source_type,venue_or_publisher,doc_category,topic_tag,doi_or_url,retrieved_date,inclusion_status,exclusion_reason,filename
DOC001,"Abundance, characterization, and distribution of atmospheric microplastics in three major cities in China",Li X.; Zhu Y.; Wang J.; Song H.; Chen L.; Wang D.; Wang R.; Dong Z.; Han Y.; Cao J.,2026,peer_reviewed,Atmospheric Pollution Research,science,health,https://doi.org/10.1016/j.apr.2026.102984,18/06/2026,include,,DOC001.pdf
DOC002,Understanding the atmospheric cycle of microplastics: from emission to deposition,Shan J.; Yu B.; Guo J.; Chen W.; Su Y.; Wang X.; Wang X.,2026,peer_reviewed,Environmental Science: Atmospheres,science,review,10.1039/d5ea00162e,18/06/2026,include,,DOC002.pdf
DOC003,"There's something in the air: A review of sources, prevalence and behaviour of microplastics in the atmosphere",O'Brien S.; Rauert C.; Ribeiro F.; Okoffo E.D.; Burrows S.D.; O'Brien J.W.; Wang X.; Wright S.L.; Thomas K.V.,2023,peer_reviewed,Science of the Total Environment,science,review,10.1016/j.scitotenv.2023.162193,18/06/2026,include,,DOC003.pdf
DOC004,Atmospheric microplastic fallout in outdoor and indoor environments in São Paulo megacity,Amato-Lourenço L.F.; dos Santos Galvão L.; Wiebeck H.; Carvalho-Oliveira R.; Mauad T.,2022,peer_reviewed,Science of the Total Environment,science,sources,10.1016/j.scitotenv.2022.153450,18/06/2026,include,,DOC004.pdf
DOC005,Constraining the atmospheric limb of the plastic cycle,Brahney J.; Mahowald N.; Prank M.; Cornwell G.; Klimont Z.; Matsui H.; Prather K.A.,2021,peer_reviewed,Proceedings of the National Academy of Sciences,science,transport,10.1073/pnas.2020719118,18/06/2026,include,,DOC005.pdf
DOC006,Airborne microplastics: A review of current perspectives and environmental implications,Shao L.; Li Y.; Jones T.; Santosh M.; Liu P.; Zhang M.; Xu L.; Li W.; Lu J.; Yang C.-X.; Zhang D.; Feng X.; BéruBé K.B.,2022,peer_reviewed,Journal of Cleaner Production,science,review,10.1016/j.jclepro.2022.131048,18/06/2026,include,,DOC006.pdf
DOC007,Nanoplastic Particle Emissions from Plastic Smoldering Combustion,Shen H.; Wang X.; Lee A.K.Y.; Abbatt J.P.D.; Chan A.W.H.,2025,peer_reviewed,Environmental Science & Technology,science,sources,10.1021/acs.est.5c05852,18/06/2026,include,,DOC007.pdf
DOC008,Abundance of microplastics and nanoplastics in urban atmosphere,Hu T.; Zhang C.; Zhu Y.; Duan J.; Liu S.; Jin N.; Song Y.; Wu F.; Li J.; Zhang T.; Niu H.; Li X.; Huang H.; Casuccio G.S.; Huang Y.; Ho K.-F.; Cao J.; Zhang D.,2026,peer_reviewed,Science Advances,science,sources,10.1126/sciadv.adz7779,18/06/2026,include,,DOC008.pdf
DOC009,Atmospheric warming contributions from airborne microplastics and nanoplastics,Liu Y.; Fu H.; Zhang H.; Wang Y.; Chakrabarty R.K.; Tu X.; Tang X.; Laskin A.; Carmichael G.R.; Chen J.; Francisco J.S.; Shindell D.T.,2026,peer_reviewed,Nature Climate Change,science,transport,10.1038/s41558-026-02620-1,18/06/2026,include,,DOC009.pdf
DOC010,Distinct properties of plastic-derived submicrometer particles from smoldering burning,Kong L.; Shen H.; Wang X.; Tawadrous M.A.R.; Halpern E.R.; Xie Q.; Laskin A.; Ho K.F.; Hamilton B.M.; Lee A.K.Y.; Chan M.N.; Chan A.W.H.,2026,peer_reviewed,Science Advances,science,sources,10.1126/sciadv.aec8184,18/06/2026,include,,DOC010.pdf
DOC011,Atmospheric microplastic emissions from land and ocean,Evangelou I.; Bucci S.; Stohl A.,2026,peer_reviewed,Nature,science,sources,10.1038/s41586-025-09998-6,18/06/2026,include,,DOC011.pdf
DOC012,Turning off the Tap - How the world can end plastic pollution and create a circular economy,UNEP (lead: Milà i Canals L.); Systemiq; University of Portsmouth; KnowlEdge Srl,2023,intergovernmental,UNEP report (ISBN 978-92-807-4024-0),policy,policy,https://www.unep.org/resources/turning-off-tap-end-plastic-pollution-create-circular-economy,18/06/2026,include,,DOC012.pdf
